selected,Action,Record,PntName,PntType,DataType,Domain,Drop,Control,Description,Character,Unit,Set,Reset,FC,Location,Channel,ChType,IRefNum,ORefNum,Security,BD,EvHigh,EvLow,InitAS,InitAS2,InitValue,DpuSave,History,MathDeal,ValueLimit,Filter,SOE,Reverse,HSRDB,SendAlarm,SHighAlarm,SLowAlarm,HighSetAlarm,LowResetAlarm,AlarmDB,HighLimit,LowLimit,HAlarmAddr,LAlarmAddr,SensorType,SensorParam,C0,C1,C2,C3,C4,C5,SensorHigh,SensorLow,FilterFactor,HighAlarmPriority,LowAlarmPriority
选中,动作,记录类型,点名,类型,数据类型,域,站,控制区,描述,特征字,工程单位,1描述,0描述,功能分类,卡位,通道,通道类型,输入引用计数,输出引用计数,安全字,周期,量程上限,量程下限,初始状态字1,初始状态字2,初始值,定时保存,保存历史,信号处理方式,限值检查,滤波处理,SOE,反相,历史死区,发送报警,传感器高限报警,传感器低限报警,高限/1报警,低限/0报警,报警死区,报警上限,报警下限,变上限报警,变下限报警,传感器类型,传感器参数,C0,C1,C2,C3,C4,C5,传感器上限,传感器下限,滤波因子,高限/1报警优先级,低限/0报警优先级
Y,addUpdate,Point,DPUDPUNUMTEMP,AP,Float32,DM,DPUNUM,1,DPUDPUNUM内部温度,,,,,0,,,,0,2,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMLOAD,AP,Float32,DM,DPUNUM,1,DPUDPUNUM内部负荷,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMGP1,GP,Gp,DM,DPUNUM,1,,,,,,0,,,,0,2,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPUDPUNUMGP2,GP,Gp,DM,DPUNUM,1,,,,,,0,,,,0,6,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPUDPUNUMNETATXLOAD,AP,Float32,DM,DPUNUM,1,DPUDPUNUMA网发送负荷,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMNETARXLOAD,AP,Float32,DM,DPUNUM,1,DPUDPUNUMA网接收负荷,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMNETBTXLOAD,AP,Float32,DM,DPUNUM,1,DPUDPUNUMB网发送负荷,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMNETBRXLOAD,AP,Float32,DM,DPUNUM,1,DPUDPUNUMB网接收负荷,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMNETATXLOADALM,DP,Digital,DM,DPUNUM,1,DPUDPUNUMA网发送负荷报警,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMNETARXLOADALM,DP,Digital,DM,DPUNUM,1,DPUDPUNUMA网接收负荷报警,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMNETBTXLOADALM,DP,Digital,DM,DPUNUM,1,DPUDPUNUMB网发送负荷报警,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMNETBRXLOADALM,DP,Digital,DM,DPUNUM,1,DPUDPUNUMB网接收负荷报警,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMMEM,AP,Float32,DM,DPUNUM,1,DPUDPUNUM内存使用率,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMDISK,AP,Float32,DM,DPUNUM,1,DPUDPUNUM磁盘剩余空间,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMMEM_H,DP,Digital,DM,DPUNUM,1,DPUDPUNUM内存高报警,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS,GP,Gp,DM,DPUNUM,1,,,,,,0,,,,0,15,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPUDPUNUM_OFF,DP,Digital,DM,DPUNUM,1,DPUDPUNUM离线,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUM_NETA_F,DP,Digital,DM,DPUNUM,1,DPUDPUNUMA网故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUM_NETB_F,DP,Digital,DM,DPUNUM,1,DPUDPUNUMB网故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUM_MASTER,DP,Digital,DM,DPUNUM,1,DPUDPUNUM在主控,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMTEMPH1,DP,Digital,DM,DPUNUM,1,DPUDPUNUM温度高报警,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMTEMP,AP,Float32,DM,DPUNUM,1,DPUDPUBIGNUM内部温度,,,,,0,,,,0,2,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMLOAD,AP,Float32,DM,DPUNUM,1,DPUDPUBIGNUM内部负荷,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMGP1,GP,Gp,DM,DPUNUM,1,,,,,,0,,,,0,2,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPUDPUBIGNUMGP2,GP,Gp,DM,DPUNUM,1,,,,,,0,,,,0,6,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPUDPUBIGNUMNETATXLOAD,AP,Float32,DM,DPUNUM,1,DPUDPUBIGNUMA网发送负荷,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMNETARXLOAD,AP,Float32,DM,DPUNUM,1,DPUDPUBIGNUMA网接收负荷,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMNETBTXLOAD,AP,Float32,DM,DPUNUM,1,DPUDPUBIGNUMB网发送负荷,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMNETBRXLOAD,AP,Float32,DM,DPUNUM,1,DPUDPUBIGNUMB网接收负荷,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMNETATXLOADALM,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMA网发送负荷报警,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMNETARXLOADALM,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMA网接收负荷报警,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMNETBTXLOADALM,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMB网发送负荷报警,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMNETBRXLOADALM,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMB网接收负荷报警,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMMEM,AP,Float32,DM,DPUNUM,1,DPUDPUBIGNUM内存使用率,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMDISK,AP,Float32,DM,DPUNUM,1,DPUDPUBIGNUM磁盘剩余空间,,,,,0,,,,0,1,0x01,1,100,0,0x00,0x00,0,0,1,,,,,,0.5,0,,,0,0,0,100,0,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMMEM_H,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUM内存高报警,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS,GP,Gp,DM,DPUNUM,1,,,,,,0,,,,0,15,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPUDPUBIGNUM_OFF,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUM离线,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUM_NETA_F,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMA网故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUM_NETB_F,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMB网故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUM_MASTER,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUM在主控,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMTEMPH1,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUM温度高报警,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUM_IO_F,DP,Digital,DM,DPUNUM,1,DPUDPUNUM有卡件故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS_0,DP,Digital,DM,DPUNUM,1,DPUDPUNUMIOBUS重启,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS_1,DP,Digital,DM,DPUNUM,1,DPUDPUNUMdpram重启,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS_2,DP,Digital,DM,DPUNUM,1,DPUDPUNUM24V电源1故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS_3,DP,Digital,DM,DPUNUM,1,DPUDPUNUM24V电源2故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS_6,DP,Digital,DM,DPUNUM,1,DPUDPUNUM主板超温,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS_7,DP,Digital,DM,DPUNUM,1,DPUDPUNUMIOBUS卡异常,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS_8,DP,Digital,DM,DPUNUM,1,DPUDPUNUMIOBUS同步数据接收出错,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS_9,DP,Digital,DM,DPUNUM,1,DPUDPUNUM控制器底座异常,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS_4_5_1,DP,Digital,DM,DPUNUM,1,DPUDPUNUMgps断线故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS_4_5_0,DP,Digital,DM,DPUNUM,1,DPUDPUNUMgps正常,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS_4_5_2,DP,Digital,DM,DPUNUM,1,DPUDPUNUMgps解析故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUNUMIOBUS_4_5_3,DP,Digital,DM,DPUNUM,1,DPUDPUNUMgps跳变故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_0,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMIOBUS重启,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_1,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMdpram重启,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_2,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUM24V电源1故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_3,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUM24V电源2故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_6,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUM主板超温,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_7,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMIOBUS卡异常,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_8,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMIOBUS同步数据接收出错,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_9,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUM控制器底座异常,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_4_5_1,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMgps断线故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_4_5_0,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMgps正常,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_4_5_2,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMgps解析故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_4_5_3,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMgps跳变故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
